,model,id,title
178,Geopolitics,27039,"Will Sheikh Hasina get asylum in the United Kingdom before October 1, 2024?"
179,Geopolitics,27085,"Before Sept 30, 2024, will the International Criminal Court issue an arrest warrant for Benjamin Netanyahu?"
180,Market price,27086,"Will Elon Musk be the richest person in the world on September 30, 2024, according to Forbes?"
181,Market price,27087,"Before October 1, 2024, will Tech Crunch report new layoffs at Microsoft?"
182,Election outcome,27088,"Will Tim Walz cease to be Kamala Harriss's running mate before October 1, 2024?"
183,Dated product announcement,27089,"Will any new iPhone model be announced supporting Wi-Fi 7 before October 1, 2024?"
184,Military conflict,27132,"Will Iran carry out a deadly attack within Israel before October 1, 2024?"
185,Election outcome,27133,"Will Donald Trump debate the Democratic nominee for president more than once before October 1, 2024?"
186,Market price,27134,Will the S&P 500 index go up in September 2024?
187,Market price,27135,"Before October 1, 2024, will Tech Crunch report new layoffs at Google or Alphabet?"
188,Election outcome,27136,"Will Robert F. Kennedy Jr. suspend his 2024 presidential campaign before September 24, 2024?"
189,Geopolitics,27137,"Will at least 200 Benin Bronzes go from the British Museum to Nigeria before October 1, 2024?"
190,Market price,27138,"On September 17, 2024, will Nvidia's market capitalization be larger than Apple's?"
191,Market price,27140,"Will the  CBOE S&P 500 3-Month Volatility Index (VXVCLS)        
 be higher Year-over-Year on September 20, 2024?"
192,Military conflict,27141,"Will the Crimean Bridge be hit with an attack before Sept 30, 2024?"
193,Military conflict,27157,"Before October 1, 2024, will there be an armed forces death in a conflict opposing China to Taiwan, the United States, the Philippines, or Japan?"
194,Election outcome,27158,Will Democrats have a brokered convention in 2024?
195,Epidemic,27159,"Will there be any reported human-to-human transmission of highly pathogenic avian influenza H5N1 globally before Sept 30, 2024?"
196,Geopolitics,27160,"Will diplomatic expulsions or recalls take place between the Philippines and China before September 30, 2024?"
197,Sports performance,27161,Will Bo Nix be the starting quarterback for the Denver Broncos in their Week 4 game against the New York Jets?
198,Epidemic,27200,"Will the CDC confirm a case of Clade I mpox in a US resident before August 23, 2024?"
199,Military conflict,27219,"On October 1, 2024, will Ukraine’s offensives reaching at least five miles into Russian territory include Kursk Oblast and no other oblasts?"
200,Military conflict,27220,"On October 1, 2024, will Ukraine’s offensives reaching at least five miles into Russian territory include Kursk Oblast and at least 1 other oblast?"
201,Military conflict,27221,"On October 1, 2024, will Ukraine’s offensives reaching at least five miles into Russian territory not include Kursk Oblast, but include at least 1 other oblast?"
202,Military conflict,27222,"On October 1, 2024, will Ukraine have no offensives reaching at least five miles into Russian territory?"
203,Military conflict,27223,"Will Ukrainian forces capture Rylsk, Russia before October 1, 2024?"
204,Market price,27238,"Will the USD be worth 0.935 EUR or more at the close of trading on any day before October 1, 2024?"
205,Election outcome,27239,"Will Keir Starmer's approval rating as Prime Minister of the United Kingdom be less than 40 on September 18, 2024?"
206,Election outcome,27240,"Will Keir Starmer's approval rating as Prime Minister of the United Kingdom be less than 50 on September 18, 2024?"
207,Election outcome,27241,"Will Keir Starmer's approval rating as Prime Minister of the United Kingdom be less than 60 on September 18, 2024?"
208,State executive action,27248,"Will the Secretary of the US Department of Health and Human Services declare a public health emergency for mpox (monkeypox) before October 1, 2024?"
209,Epidemic,27249,"Will the 7-day average confirmed mpox cases in 2024 exceed the peak 7-day average confirmed mpox cases from the 2022-2023 outbreak by September 30, 2024?"
210,Market price,27258,"Will Jeff Bezos be the 1st or 2nd richest person in the world on September 30, 2024, according to Forbes?"
211,Market price,27259,"Before October 1, 2024, will Tech Crunch report new layoffs at Netflix?"
212,Market price,27260,"Will Big Lots file for bankruptcy before September 30, 2024?"
213,Astronomy,27261,"Between August 21 and Sept 11, 2024, will the strongest geomagnetic storm have a K-index (""Kp"") greater than 6 and less than or equal to 8?"
214,Astronomy,27262,"Between August 21 and Sept 11, 2024, will the strongest geomagnetic storm have a K-index (""Kp"") greater than 7 and less than or equal to 8?"
215,Astronomy,27263,"Between August 21 and Sept 11, 2024, will the strongest geomagnetic storm have a K-index (""Kp"") greater than 6 and less than or equal to 7?"
216,Epidemic,27277,"On Sept 30, 2024 will more than 400 measles cases have been reported in the United States in 2024?"
217,Epidemic,27278,"On Sept 30, 2024 will more than 300 measles cases have been reported in the United States in 2024?"
218,Epidemic,27279,"On Sept 30, 2024 will more than 300 and less than or equal to 400 measles cases have been reported in the United States in 2024?"
219,Military conflict,27280,"Will Israel invade Lebanon before October 1, 2024?"
220,Macroeconomics,27281,"Will the Warren Buffett Indicator exceed 200% before September 17, 2024?"
221,Civil unrest,27282,"Will the US see a large-scale riot between July 17, 2024 and Sept 30, 2024?"
222,Market price,27283,"Before October 1, 2024, will Tech Crunch report new layoffs at Rivian?"
223,"This question pertains to whether Kamala Harris will mention ""artificial intelligence"" or ""AI"" in her 2024 Democratic National Convention keynote speech. To categorize this, let's analyze the primary focus of the question:

- It's about whether a specific phrase will be mentioned in a speech.
- The subject matter involves Kamala Harris, the Democratic National Convention, and the content of the keynote speech.

Given these elements, none of the categories provided perfectly match the focal point of the question, which is essentially centered on a specific event and the words spoken during that event. However, the closest fit among the available categories might be ""Other,"" as it doesn't strictly fit into any of the predefined domains such as ""Election outcome,"" ""State executive action,"" ""Geopolitics,"" etc.

So, the domain for this question should be classified as:

**Other**",27446,"Will Kamala Harris say ""artificial intelligence"" or ""AI"" in her 2024 Democratic National Convention keynote speech?"
224,Election outcome,27447,"Will either of Donald Trump's campaign managers get fired, resign, or otherwise leave their positions before October 1, 2024?"
225,Macroeconomics,27484,Will the Fed hold rates steady at their September meeting?
226,Macroeconomics,27485,Will the Fed cut rates by 25 bps at their September meeting?
227,Macroeconomics,27486,Will the Fed cut rates by 50 bps at their September meeting?
228,Macroeconomics,27487,Will the Fed cut rates by more than 50 bps at their September meeting?
229,Macroeconomics,27488,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.0% or less?
230,Macroeconomics,27489,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.1%?
231,Macroeconomics,27490,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.2%?
232,Macroeconomics,27491,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.3%?
233,Macroeconomics,27492,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.4%?
234,Macroeconomics,27493,Will the month over month percentage increase in core CPI inflation in the US in August 2024 be 0.5% or more?
235,"The model domain for this question is:

Dated product announcement

This question is specifically about whether Apple will announce a particular product feature (40W fast charging for an iPhone) by a specific date (the end of its September 2024 event). The question revolves around a planned product announcement event with a particular timeframe, which fits squarely into the ""Dated product announcement"" category.",27515,Will Apple announce an iPhone with 40W fast charging by the end of its September 2024 event?
236,"The model domain for this question is:

Dated product announcement

This question is specifically about the release date of a product (Claude 3.5 Opus) from a company (Anthropic). It asks whether this product will be released before a specific date, which fits the ""Dated product announcement"" category best among the given options.",27521,"Will Claude 3.5 Opus be released before October 1, 2024?"
237,"Based on the given information, this question falls under the domain of:

Sports performance

The question is specifically about a potential overturn of a decision regarding medal allocation in the women's floor exercise at the 2024 Paris Olympics. This clearly relates to an outcome in a sporting event and the subsequent administrative decisions that affect the final results, which is squarely within the realm of sports performance.",27522,"Will the decision to reallocate the bronze medal in the women's floor exercise at the 2024 Paris Olympics from the US to Romania be overturned before October 1, 2024?"
238,"The model domain for this question is Leadership change. 

The question asks about whether Yahya Sinwar will cease to be the acting Chairman of the Hamas Political Bureau, which is a leadership position. The criteria for resolution involve Sinwar stepping down, being replaced, captured, or dying - all of which would constitute a change in leadership for this organization. The background information provides context about Sinwar's recent appointment to this role and the history of leadership changes in this position.",27523,"Will Yahya Sinwar cease to be the acting Chairman of the Hamas Political Bureau before October 1, 2024?"
239,"The model domain for this question is:

Military conflict

This question is clearly about an ongoing military situation involving Ukraine's incursion into Russia's Kursk Oblast and the potential for Ukraine to withdraw from that territory. It involves troop movements, territorial control, and the outcome of a military operation, which are all characteristic of the ""Military conflict"" domain.",27524,"Will Ukraine withdraw from Kursk before October 1, 2024?"
240,"The model domain for this question is Military conflict.

This question relates to the potential use of nuclear weapons by Russia in the ongoing conflict with Ukraine, which falls squarely within the domain of military conflict. The question specifically asks about the detonation of a nuclear weapon in a war zone, which is a military action with severe geopolitical implications.

While the question touches on aspects of geopolitics, the core focus is on a specific military action (nuclear weapon detonation) in the context of an ongoing armed conflict. Therefore, Military conflict is the most appropriate domain for this question.",27538,"Will Russia detonate a nuclear weapon in Ukraine or Ukrainian-held territory before October 1, 2024?"
241,"The model domain for this question is:

Military conflict

This question is specifically about the potential use or accidental detonation of nuclear weapons outside of testing environments, which falls squarely within the domain of military conflict. While it touches on aspects of geopolitics and potentially terrorism, the core focus is on the use of nuclear weapons in a conflict scenario or through military accident, making ""Military conflict"" the most appropriate category.",27539,"Will a non-test nuclear weapon be detonated by October 1, 2024?"
242,"This question falls under the domain of ""Epidemic"". 

The key reasons for this classification are:

1. The question is specifically about mpox (monkeypox), which is an infectious disease that can potentially reach epidemic proportions.

2. It involves the CDC's risk assessment of mpox for the general US population, which is a typical measure used to monitor and evaluate the spread and impact of infectious diseases.

3. The background information provides details about CDC's qualitative risk assessments for infectious diseases, including definitions for likelihood of infection and impact of infection, which are central to epidemic monitoring and management.

4. The question is time-bound and asks about a potential change in risk level, which is characteristic of epidemic-related forecasts.

While this question touches on aspects of public health policy (given the CDC's involvement), the core focus is on the spread and risk assessment of an infectious disease, making ""Epidemic"" the most appropriate classification.",27545,"Will the CDC's assessment of the risk posed by mpox to the US general public exceed ""Very Low"" before October 1, 2024?"
